Classifier,Scaler,Accuracy,ROC AUC OVR,F1,Recall,Best Hyperparameters Values
RandomForest,Standard,"\textbf{0.655 (0.06, 0.63, 0.68)}","\textbf{0.744 (0.08, 0.72, 0.77)}","0.548 (0.08, 0.52, 0.57)","0.555 (0.07, 0.53, 0.58)",{{n\_estimators: 200}}
XGBoost,None,"0.639 (0.08, 0.61, 0.67)","0.723 (0.08, 0.69, 0.75)","\textbf{0.554 (0.08, 0.53, 0.58)}","\textbf{0.556 (0.08, 0.53, 0.58)}","{{n\_estimators: 200, learning\_rate: 1.0}}"
Bagging,None,"0.635 (0.08, 0.61, 0.66)","0.735 (0.08, 0.71, 0.76)","0.530 (0.09, 0.50, 0.56)","0.539 (0.08, 0.51, 0.57)",{{n\_estimators: 200}}
