Scaler,Mean Accuracy,Mean Accuracy,Mean Macro OVR ROC AUC,Mean Macro OVR ROC AUC,Mean Macro F1,Mean Macro F1,Mean Macro Recall,Mean Macro Recall
,mean,std,mean,std,mean,std,mean,std
None,0.726,0.05,0.729,0.09,0.668,0.11,0.676,0.07
Standard,0.729,0.05,0.732,0.09,0.671,0.11,0.678,0.07
